NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
ABL1	1633.5209	2111.184	1632.3022	2454.5855	2112.45355	1890.6796	2063.8655	1937.1695	1794.544	2089.306	2731.5271	2457.12525	2428.5494	4044.3836	2622.1698	5233.0033	3379.8149	1920.1409	1853.2364	2175.8226	1819.6798	2189.7233	2857.659	3234.92185	4620.0325
ACTB	111085.3589	91474.6494	106007.5005	112479.5413	79977.0135	78843.2056	93424.7032	112757.8622	104813.644	106060.9286	61791.3669	102897.9693	134260.1426	153706.9767	71587.9017	160372.3098	128286.7818	62421.8467	56512.34965	66253.43595	121866.2465	130135.7754	87255.30585	140863.1301	119919.6461
ACTN2	2.1773	2.9317	0.9349	0.5	5.81265	10.4248	8.0049	4.4776	2.9523	2.8011	6.1881	0.90605	2.6882	15.7563	2.443	25.0825	1.7316	17.5923	11.8627	13.955	79.536	107.4271	39.47235	1.05125	10.7723
ADAM2	0	0	0	0	22.844	0	0	0	0	0	7.5457	0	0	215.1942	98.5696	31.6832	231.295	87.0156	106.04565	105.2791	82.9582	101.416	143.61405	183.58445	362.1452
ADAM22	10.8843	41.65995	9.8683	23.8197	96.2635	104.5872	19.2016	14.4092	10.4812	13.9507	77.3897	17.93945	19.3573	0	0	0	0	0	0	0	0	0	0	0	0
ADAM23	16.587	21.86795	24.4368	10.4833	1.3926	9.1284	2.2117	8.2603	662.414	9.7749	9.7447	11.11365	12.0645	21.2483	80.6413	31.0231	22.1891	139.6447	174.14225	124.6139	11.2386	14.6417	167.5467	29.2043	33.31815
AGR2	1944.4121	5851.1277	832.285	11391.4328	0.35385	0.3631	3.8285	7381.1305	823.3604	70.5993	7772.8343	9075.65685	1201.58005	2886.2974	1552.5847	52.2968	14351.8233	111.62	113.3368	111.7333	1572.5669	1538.7931	4824.744	24511.04125	414.32775
AKT3	216.64575	422.74325	139.91405	146.0481	854.32325	1308.6473	733.4537	291.2536	362.4365	175.6528	1351.5541	178.61055	99.7959	755.6389	1173.4919	1586.5724	270.1601	1122.1345	1402.97205	967.7455	737.4825	815.2388	1523.1094	553.71745	1299.71535
ALOX12	23.4843	3.00615	21.98695	2.7248	4.34665	5.6037	7.0053	4.01	42.7679	11.0414	4.6893	2.3018	11.67485	8.6832	5.5918	4.9769	4.6994	5.8891	4.1743	4.6467	6.3006	9.2811	4.3056	5.78135	8.03645
AMBP	0.4446	7.225	0.76875	7.8363	3.34915	17.8	54.9133	15.3846	1.0697	2.1652	2.1525	11.8647	31.96185	0.4824	6.0768	1.0601	2.911	188.9269	149.98785	225.6886	12.3782	12.2313	1.75795	3.5973	3.5619
