NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
ABL1	1633.5209	2111.184	1632.3022	2454.5855	2112.45355	1890.6796	2063.8655	1937.1695	1794.544	2089.306	2731.5271	2457.12525	2428.5494	4044.3836	2622.1698	5233.0033	3379.8149	1920.1409	1853.2364	2175.8226	1819.6798	2189.7233	2857.659	3234.92185	4620.0325
ADD1	4565.0973	4788.13605	2954.7964	3729.0546	5287.55625	6393.9518	6719.2536	4386.0165	3479.6574	4308.2343	5958.4383	3625.02245	4116.0328	7132.0675	6464.2363	9256.1837	6192.8429	5952.2883	6278.55255	6563.6511	6986.9281	7258.5616	7393.1625	6215.58275	6822.93085
AKT3	216.64575	422.74325	139.91405	146.0481	854.32325	1308.6473	733.4537	291.2536	362.4365	175.6528	1351.5541	178.61055	99.7959	755.6389	1173.4919	1586.5724	270.1601	1122.1345	1402.97205	967.7455	737.4825	815.2388	1523.1094	553.71745	1299.71535
ALPK1	389.53845	481.35975	422.00845	375.1475	327.22455	484.472	473.6111	503.83	361.2451	358.1346	220.5051	365.5718	422.8332	413.8233	710.3727	315.1815	405.205	334.1783	363.01615	305.9127	555.6561	554.5778	299.24025	319.492	415.7019
AMBRA1	720.43555	990.6853	667.89455	886.9081	1414.446	804.4832	868.5832	864.2937	765.9179	987.5062	872.6277	909.57035	939.07505	852.4735	940.4707	762.0462	1098.4923	837.8378	911.84065	927.7105	897.9803	866.6667	911.34005	872.7021	954.07415
APAF1	483.42545	502.32575	491.3402	773.8675	349.40015	553.3462	462.9494	556.066	373.6635	360.0278	371.514	781.8718	389.20155	341.2073	535.029	371.0247	957.5953	383.2663	396.67035	303.8442	562.6398	583.8172	400.1631	924.7144	375.7968
ARHGAP10	516.19685	231.99885	320.7635	134.3441	58.1639	444.0057	311.8761	293.3333	253.655	131.3988	435.8025	136.62955	239.4134	1023.046	583.8446	527.2085	186.2454	274.222	307.82545	308.1194	359.4771	435.608	753.4337	576.45735	653.08065
ARSB	241.84165	348.96765	212.39355	260.1253	187.7107	1268.8391	962.0053	441.6859	350.1048	228.8591	260.791	233.4889	338.0701	418.2425	260.1592	343.1095	311.7392	490.9881	867.1493	963.01285	540.1658	553.8953	301.30055	343.01025	353.37805
ASB2	45.28385	20.82535	206.1954	43.3979	7.20735	53.7507	25.2886	47.8703	86.9205	36.4912	233.8671	47.49475	103.29905	598.3562	31.0079	893.9929	382.7038	20.0069	16.738	22.95485	60.6759	61.4525	606.5122	812.8569	574.67995
ATG16L1	541.9088	916.11675	558.81005	912.9594	335.3472	707.1179	675.7164	754.2801	639.8757	582.2427	841.7213	887.12045	568.2102	644.489	675.0502	672.7915	739.0691	522.1964	473.75025	498.82255	508.4746	538.5	859.95555	776.9714	592.9778
