NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
ACTA2	3761.4122	5953.7876	1500.9354	3834.3291	1743.5589	9421.231	1322.9368	3895.7656	3045.4731	2361.9202	18536.2781	4281.11395	2869.0747	37258.9096	21586.3255	116863.8081	6489.3075	4611.5817	3741.77325	4076.4756	4784.6819	6761.9547	48501.61325	17228.8628	55185.89905
ADAM15	3459.04115	4215.8345	4433.42015	3438.9483	815.2285	1593.4015	1219.6996	4248.6523	2835.7292	3040.6519	3537.3289	3110.9571	4240.3662	1901.4577	2721.0219	3925.9767	2991.5262	1399.0202	1032.8701	1135.1501	2389.5681	2459.0023	2680.3379	2918.7386	2557.7107
AGER	83.1061	26.77055	77.3986	29.3878	16.903	66.0264	74.1102	390.3378	143.75	90.1645	39.5071	28.85225	96.8362	44.1176	35.205	97.3597	21.7714	37.9622	14.0408	29.92775	44485.6928	38026.4775	30.6005	24.14935	108.85045
ALX1	0.63155	0.3819	0.42695	0	0	1.1811	1.4409	0.3491	2.3047	0.9149	0.7707	0	0.9265	2.9155	2.1337	13.1597	0	39.1726	22.21895	20.18695	0.3082	0.3365	0.80505	0.1978	5.2224
AMELX	0	0	0	1.556	0	0	0	0	0	0	0	2.9118	0	0	0	0	0	0	0	0	0	0	0.33505	0	0
AXIN2	102.09415	203.3388	67.4752	3362.7563	37.5489	53.5372	171.3831	331.7092	187.701	679.7037	528.0127	3851.41445	499.14475	323.2877	358.4379	1695.053	738.1487	141.8222	141.2229	133.6777	791.1122	713.1757	698.03385	743.10265	1210.43615
BAMBI	533.77895	1120.2353	149.83815	244.8228	289.32775	376.6068	1692.0738	228.7302	262.94	65.1313	349.3724	290.8314	453.70465	973.6308	677.3414	745.8746	123.2571	582.5653	608.5019	559.41435	243.2203	264.1267	284.017	217.52415	566.32575
BCL9L	1918.11235	2019.96175	1689.9087	1540.688	903.99115	1797.402	1262.2636	2809.5441	2176.2813	4524.1154	1481.9461	1435.97795	1866.8699	688.1978	597.2079	984.4884	583.5684	846.0162	910.53095	894.55345	458.4104	476.7588	1139.6581	657.0172	1413.5381
BMP2	243.97595	23.0899	296.7674	275.5365	167.9882	427.0712	258.7776	345.8119	234.7545	19.9663	56.1965	277.4124	55.86875	747.2407	173.7968	177.7385	1244.0008	244.0291	232.8224	273.68885	1443.0747	1505.327	111.0263	1188.30665	203.3409
BMP5	3.05705	1.4154	0	10.6572	0.4525	1.86	0	99.9544	17.5171	0	1.8741	14.93525	0	51.2204	41.1061	0	130.2885	8.4652	27.35685	13.7088	252.8682	293.6951	57.12045	108.4097	0
BMP7	150.5679	80.34995	879.9325	473.8938	5.0064	1.7264	44.3125	40.8479	1658.6169	1376.9339	202.7534	689.8295	242.5515	1002.4313	143.0754	39.934	84.4185	320.5742	348.84375	395.98655	74.2297	97.5348	477.57695	151.19195	185.4938
C13orf15	243.23535	308.3394	282.6477	181.8594	560.4149	1690.924	122.9472	745.5447	438.8489	487.6004	303.2844	271.76095	242.3816	687.4003	977.8761	1233.7217	140.1705	834.3364	478.82595	317.049	5945.7014	6062	421.76985	203.7046	433.88905
