NAME	BLCA_C	BRCA_C	CESC_C	COAD_C	KICH_C	KIRC_C	KIRP_C	LUAD_C	LUSC_C	OV_C	PRAD_C	READ_C	UCEC_C	BLCA_N	BRCA_N	CESC_N	COAD_N	KICH_N	KIRC_N	KIRP_N	LUAD_N	LUSC_N	PRAD_N	READ_N	UCEC_N
A4GNT	0.42675	0.4143	0.5517	0	0	8.9837	8.4232	1.072	0.7381	0.4311	0	0	0	0	1.5159	0	0	5.0538	3.553	4.6317	3.7716	3.8953	0	0	0.1789
ABCB1	31.889	57.4418	33.51825	628.7466	17.14255	681.4024	2926.1975	45.2117	23.8569	19.9955	182.729	740.7214	93.1386	1.1765	2.9274	0	47.3795	0	0	0	0.5999	0.8555	0.33595	17.2069	0
ABL1	1633.5209	2111.184	1632.3022	2454.5855	2112.45355	1890.6796	2063.8655	1937.1695	1794.544	2089.306	2731.5271	2457.12525	2428.5494	4044.3836	2622.1698	5233.0033	3379.8149	1920.1409	1853.2364	2175.8226	1819.6798	2189.7233	2857.659	3234.92185	4620.0325
ACER3	266.1495	347.4803	261.38655	308.1504	248.5284	410.2544	311.5325	370.8001	444.9865	370.4274	388.7428	320.02965	312.31555	279.7784	459.9868	168.3345	552.5597	267.5745	403.19065	361.0183	628.2951	635.2792	387.517	490.7222	226.80315
ACVR1C	27.44835	18.5253	46.9217	110.1247	86.4038	6.0423	3.6276	19.2786	111.878	16.2113	10.6338	97.11335	9.26915	816.3265	1194.7393	1049.47	464.783	791.2773	979.062	901.74445	853.3898	896.1387	704.0092	547.1218	1118.6687
ACVR2A	379.57	296.0503	284.90845	273.9961	235.8841	343.9192	338.8938	277.623	321.5985	326.2716	453.1034	326.2346	255.8521	497.1056	578.1595	345.8746	408.2986	364.6085	462.39625	382.61315	319.6659	320.5759	530.9336	417.1394	421.8206
ADRA1A	0	0.9617	0	0.3976	0.78335	7.6239	1.6445	0.8313	0.3194	0.2155	25.9204	0.47745	0.87245	3.6179	29.5192	6.0315	4.4683	6.6385	9.5497	8.7377	27.6596	32.7675	119.77695	6.6698	1.49235
AGER	83.1061	26.77055	77.3986	29.3878	16.903	66.0264	74.1102	390.3378	143.75	90.1645	39.5071	28.85225	96.8362	44.1176	35.205	97.3597	21.7714	37.9622	14.0408	29.92775	44485.6928	38026.4775	30.6005	24.14935	108.85045
AIMP2	570.6237	435.7562	531.2325	828.3803	877.99985	304.8636	605.1862	517.7429	607.3881	683.8713	517.515	805.55525	519.79915	394.3616	268.2162	383.2159	716.2326	599.8642	472.0711	574.52145	256.245	264.8743	352.22005	569.307	331.08095
ALOX12	23.4843	3.00615	21.98695	2.7248	4.34665	5.6037	7.0053	4.01	42.7679	11.0414	4.6893	2.3018	11.67485	8.6832	5.5918	4.9769	4.6994	5.8891	4.1743	4.6467	6.3006	9.2811	4.3056	5.78135	8.03645
AMBRA1	720.43555	990.6853	667.89455	886.9081	1414.446	804.4832	868.5832	864.2937	765.9179	987.5062	872.6277	909.57035	939.07505	852.4735	940.4707	762.0462	1098.4923	837.8378	911.84065	927.7105	897.9803	866.6667	911.34005	872.7021	954.07415
AMELX	0	0	0	1.556	0	0	0	0	0	0	0	2.9118	0	0	0	0	0	0	0	0	0	0	0.33505	0	0
APC2	7.47225	6.5221	13.0475	9.6413	13.55755	5.4476	6.4018	7.759	9.9275	13.2489	12.7362	7.4226	13.79765	7.0901	4.2506	2.8375	25.1202	4.198	2.5019	3.6256	4.7599	5.0507	7.92645	24.1345	6.31265
APOA1	1.87685	1.8893	2.13215	1.5699	0.6224	1.4409	1.4787	2.1377	1.9931	848.7032	1.2136	2.09645	9.0953	2.1918	0.8487	9.1873	2.2676	3.9481	6.0365	14.19935	20.2137	16.0615	2.66665	2.19255	21.53505
APOH	0	0	0	2.8337	0	4.3373	3.4086	33.264	0.5666	0	0	2.8785	0	0	0	0	7.5727	15.5282	107.4245	170.44985	126.9776	143.5	0	14.7009	0
ARG1	0.5092	0	0.42395	0.3946	0	0.6504	0	0.4391	0.8152	0.4619	0.7955	0.4585	0	0.5252	0.6254	1.3201	1.0578	0.4128	0.36335	0.3262	1.8674	2.5	0.88385	1.45695	0.49345
