NAME	cBLCA	cBRCA	cCESC	cCOAD	cKICH	cKIRC	cKIRP	cLUAD	cLUSC	cOV	cPRAD	cREAD	cUCEC	nBLCA	nBRCA	nCESC	nCOAD	nKICH	nKIRC	nKIRP	nLUAD	nLUSC	nPRAD	nREAD	nUCEC
ADAM17	757.75	708.31	810.95	462.12	272.39	628.49	421.32	784.4	1465.84	776.54	287.93	513.76	517.3	432.8784	819.5754	257.9505	357.7505	454.1239	497.92755	385.31205	1041.8883	1102.6677	337.47185	349.10525	359.64665
APH1A	5332.27	6196	4885.1	4633.63	3411.65	3759.3	3770.87	5461.92	5708.59	4516.3	4085.84	4455.25	4609.02	4468.7915	3594.7346	4138.1625	5537.3119	4178.8575	3853.7735	4110.1998	3956.1158	4227.0833	3929.18215	5048.948	3212.95045
DTX1	33.54	72.85	74.4	54.5	14.97	56.48	100.8	49.98	54.36	123.15	83.13	39.95	162.1	49.47	361.0693	79.2079	91.6404	421.8852	350.549	315.43135	44.6058	53.4218	60.32415	66.57855	192.33105
DTX2	1159.95	429.66	1449.1	1521.13	274.92	324.81	414.28	982.04	958.84	392.73	515.48	1458.03	776.96	649.3131	291.3043	429.3286	1005.9037	191.6737	134.2399	196.3852	425.1895	468.6275	489.48285	733.20205	384.73585
DTX3L	1874.5	2430.77	2930.85	1998.14	1807.24	1873.74	1285.86	2481.65	2250.36	1756.38	1896.68	2006.56	1512.65	1109.5618	558.415	1437.6238	1939.4557	693.3818	930.79655	730.59915	2083.2579	2341.499	892.68555	1380.20075	1505.20305
DTX3	586.1	524.24	474.09	137.46	1041.4	463.18	1145.4	484.85	584.33	739.34	826.35	140.63	1059.13	642.5594	1425.732	907.4709	203.0459	878.0849	605.69215	737.86295	465.4378	488.1672	1421.1997	411.94475	1234.51645
DTX4	1793.86	374.81	565.97	1815.35	48.33	659.68	658.89	1407.93	681.9	563.92	238.4	1847.72	569.8	1195.7364	694.9384	319.0813	2991.8256	348.4024	638.1679	741.0911	2092.7514	1995.4248	310.83655	1849.98565	554.33125
DVL1	1906.54	840.24	1615.72	1594.6	1569.33	877.12	1207.7	1615.24	1199.29	885.77	1954.55	1405.03	1823.99	1448.9796	714.3301	1540.233	1116.2579	1179.0273	702.48595	1172.5069	1169.0381	1056.55	1205.77505	1049.29575	1615.3023
DVL2	709.35	535.49	757.37	589.69	481.53	548.95	883.63	619	864.45	605.32	848.68	549.63	724.98	728.2192	633.0568	1266.3366	627.551	599.3088	453.6129	552.4476	574.9412	577.2084	977.8883	574.50865	1042.93805
DVL3	2792.16	2343.36	3114.41	1903.75	1793.68	1719.78	2086.09	1980.9	5016.99	2185.3	2078.04	1908.53	2918.22	2092.2481	1802.4248	1864.6643	1717.108	1844.0089	1569.13925	1769.6766	1493.3271	1579.4118	2024.8922	1644.6133	2216.60195
LFNG	458.54	825.35	360.55	2159.45	63.28	283.83	458.11	1012.96	362.39	608.7	1432.97	2257.14	694.02	431.8787	632.2566	371.3781	1293.4992	245.4579	199.162	237.16675	579.931	603.6249	647.47875	1137.78985	516.74015
MFNG	103.76	143.83	117.97	134.13	124.49	493.2	189.01	293.2	169.97	184.41	103.27	114.92	155.51	231.6061	401.61	613.4224	324.8591	278.9412	206.63075	203.0758	978.4849	987.395	124.4174	277.6359	386.25185
NCSTN	3088.43	4057.79	2806.37	2703.1	2035.57	3399.5	2980.54	3571.84	3427.33	3205.18	2944.77	2736.09	3905.35	1992.5788	3023.3566	1922.9609	3039.2034	2999.7939	3401.9567	3414.75935	3043.9831	3203.9106	2833.0974	2787.16955	2032.9401
NUMBL	534.23	352.16	491.21	243.3	68.05	172.95	306.55	405.61	641.72	602.21	405.63	224.47	587	922.449	1824.1495	1635.689	250.8659	165.2965	97.60305	165.64325	265.6314	341.5902	455.7315	352.7266	1574.52195
NUMB	1201.51	1419.54	1443.58	1639.86	2137.56	2101.43	2203.81	1793.78	1400.08	1116.98	1290.43	1542.61	1575.63	1407.0973	396.4916	1414.5215	2504.1266	1838.2619	1952.36405	1885.4275	2641.2629	2639.37	1453.8485	2136.093	1235.98425
PSEN1	1701.47	2185.42	1848.43	2030.47	2130.7	1645.03	1991.57	2038.81	1787.05	1915.22	1822.4	1977.47	1710.84	1461.9178	1873.5294	1430.5689	3362.8353	1838.1962	2078.28775	1859.17385	2103.537	2076.8776	1837.78785	2862.24675	1480.78065
PSEN2	409.13	670.82	301.77	396.66	626.41	412.76	423.74	590.48	368.97	433.76	856.06	385.65	551.76	448.6078	411.563	544.5545	467.514	496.8182	481.7049	486.94625	575.0483	578.346	819.2479	417.9445	517.679
PSENEN	1650.88	1413.7	1238.83	983.72	874.68	773.76	1236.68	1232.82	1041.21	981.25	873.4	925.3	1774.41	839.9044	696.5217	775.637	901.1447	950.4921	758.91615	833.54645	836.0996	847.2222	889.2091	874.81365	886.86445
RFNG	1144.02	580.17	720.31	651.01	520.78	713.87	1308.54	840.15	723.49	595.66	1114.94	609.1	1163.08	744.5858	575.899	1132.1555	607.1896	732.0361	515.6135	798.29825	590.7208	606.5925	864.33125	533.8513	1022.33025
APH1B	264.4248	453.0284	124.2269	635.0273	381.8338	1087.4869	684.4873	961.4868	937.1854	317.6604	809.2725	593.2091	177.783	1247.8992	700	430.033	1226.4151	1504.4296	2261.52575	2148.76505	1655.1205	1563.6564	823.84165	1149.30955	469.1005
