NAME	cBLCA	cBRCA	cCESC	cCOAD	cKICH	cKIRC	cKIRP	cLUAD	cLUSC	cOV	cPRAD	cREAD	cUCEC	nBLCA	nBRCA	nCESC	nCOAD	nKICH	nKIRC	nKIRP	nLUAD	nLUSC	nPRAD	nREAD	nUCEC
CIR1	796.27	869.99	741.4	785.64	544.62	867.36	621.5	908.97	727.27	899.51	798.1	934.96	578.32	863.9576	959.5149	1181.5182	698.8954	716.5459	716.3896	586.4099	1015.2758	921.5133	880.50505	916.74895	1202.6897
CREBBP	1645.14	2843.26	2070	2091.03	2493.09	2216.59	1888.74	2353.75	2325.48	2720.71	2228.77	2133.72	2212.08	2289.9118	3054.3332	2641.5842	2355.9187	1690.0994	1939.92785	2127.1258	2538.5156	2648.9297	2421.2454	2185.18185	3062.4535
CTBP1	3101.43	2130.38	2722.62	2920.44	3343	2371.43	3334.08	2926.16	2313.07	2041.97	3440.61	2754.14	4729.34	2523.3834	1867.7063	3015.2013	2714.5334	2593.4996	1957.37925	2644.9189	2431.8898	2422.8379	2898.27555	2461.8724	3787.98155
CTBP2	1086.31	2287.22	1676.72	2409.13	1241.04	1895.36	1738.59	1712.82	1266.44	1853.83	2222.54	2351.12	2975.05	1265.0177	1730.4762	2063.3663	2196.91	1753.0821	1640.4238	1529.80985	1277.4369	1309.359	2068.5516	2082.9782	2469.81245
EP300	1737.74	2599.76	1701.49	2115.6	2783.46	2322.91	1547.37	2146.72	2622.25	2520.7	2253.25	2157.37	1900.79	2228.334	3055.5723	1903.3003	2580.3799	2060.7106	2563.70655	2471.20085	2537.1515	2708.1416	2460.08205	2330.8228	1878.22415
HDAC1	3671.16	2445.92	4765.41	5262.84	1136.4	1960.53	1453.93	2585.35	3731.99	2430.09	3611.69	5180.66	3181.6	3015.5317	1903.0819	2267.3064	5402.7829	2397.6338	2105.47605	1941.7737	1586.2304	1690	3061.46585	4943.73115	2704.48395
HDAC2	2510.42	2240.78	2679.46	2782.59	852.58	1393.1	1293.63	1757.23	2864.34	2022.59	1922.73	3067.36	2582.52	1937.1227	1725.9751	1847.1947	1605.475	1457.2378	1597.8594	1348.95795	1307.243	1301.5363	1660.201	1823.3412	2347.6836
KAT2A	1894.7	838.3	1463.69	1783.63	478.41	683.59	1399.97	1248.93	1402.9	966.61	1408	1718.82	1548.98	944.186	814.3067	891.4191	665.3738	774.1813	395.01015	599.18685	397.1229	481.31	727.612	573.2124	1304.82645
KAT2B	427.43	297.57	330.78	224.9	669.74	771.76	422.76	426.03	278.65	418.05	724.28	211.99	232.51	906.4706	784.7158	706.9307	701.4477	1285.3856	1208.42885	968.1053	1053.2481	968.4455	1004.6339	849.4089	544.32205
MAML1	1033.68	1367.27	1232.37	1261.82	757.25	1032.55	689.96	1200.69	1143.77	1376.17	1222.91	1290.39	1251.06	1107.1704	1376.4903	1313.7723	1279.0984	753.3379	792.38005	811.68405	1116.6641	1190.355	1126.4145	1152.66065	1422.0737
MAML2	190.48	219.96	136.51	312.79	103.67	875.23	328.6	319.55	282.68	342.39	214.13	338.62	230.28	371.2012	1277.2874	193.3993	424.5423	631.8514	916.21985	814.24425	584.6383	694.7417	550.80085	421.5959	249.13455
MAML3	346.62	357.18	192.77	364.87	623.45	373.01	184.27	329.6	257.26	403.68	883.97	357.25	367.9	507.0588	522.7659	421.1221	558.7534	292.282	332.99585	293.20335	469.4762	486.9281	690.20765	461.71955	811.6483
NCOR2	2684.39	3527.72	3299.51	3994.62	6209.57	4024.15	2651.08	5257.72	3706.02	3442.6	4391.05	4008.06	4746.27	3168.4162	3444.6494	3795.0495	3538.213	2384.9834	2049.02205	3064.7562	6609.7106	6247.7624	4376.9864	3440.22835	4124.34345
RBPJ	521.52	665.6	421.72	435.1	681.12	804.42	424.93	761.98	516.78	385.08	615.52	478.78	725.88	826.2391	0	0	424.3815	404.1346	639.654	485.20195	750.2262	790.8205	839.20575	506.59095	0
RBPJL	0	0	0	0	0	0	0	0	0	1.4213	0	0	1.0195	0	888.9652	807.4205	0	0	0	0	0	0	0	0	808.1725
SNW1	1427.81	1565.47	1675.29	1379.43	1178.86	1167.67	978.63	1298.08	1499.62	1564.93	1242.61	1349.78	1074.73	1431.9788	1502.2163	1615.1815	1262.6316	1156.5896	1116.26395	977.2826	1257.1368	1280.7107	1246.07135	1262.4155	1701.2646
ATXN1L	816.9358	1050.8849	978.96995	967.3039	1024.0118	1560.446	1592.3773	1038.9847	1096.9527	1002.1026	813.8205	1100.43655	780.516	925.9259	2003.6393	1259.0106	758.558	541.638	801.96245	781.8117	1260.3387	1242.7951	1068.276	915.0611	1188.4
ATXN1	436.09555	1078.2525	577.77405	635.0273	381.8338	1087.4869	684.4873	961.4868	937.1854	843.3215	840.8099	593.2091	717.3366	1247.8992	1114.1593	1193.6396	1226.4151	1504.4296	2261.52575	2148.76505	1655.1205	1563.6564	1201.1791	1149.30955	1660.81895
